#SampleID	BarcodeSequence	LinkerPrimerSequence	InputFileName	IlluminaID	SortOrder	Sample	Mouse	OriginCage	SampleTime	Duplicate	Donor	DonorDiet	DonorActivity	Description	DuplicatedSample
69.post			69_post.fna	2	1	69_post	69	cage_1	post	No	NC_Sed	NC	Sed	69_post	69_post
69.post.dup			69_post_dup.fna	70	8	69_post_dup	69	cage_1	post	Yes	NC_Sed	NC	Sed	69_post_dup	69_post
69.pre			69_pre.fna	1	999	69_pre	69	cage_1	pre	No	NC_Sed	NC	Sed	69_pre	69_pre
69.pre.dup			69_pre_dup.fna	69	999	69_pre_dup	69	cage_1	pre	Yes	NC_Sed	NC	Sed	69_pre_dup	69_pre
70.post			70_post.fna	4	31	70_post	70	cage_2	post	No	HF_Ex	HF	Ex	70_post	not_duplicated
70.pre			70_pre.fna	3	999	70_pre	70	cage_2	pre	No	HF_Ex	HF	Ex	70_pre	not_duplicated
71.post			71_post.fna	6	23	71_post	71	cage_3	post	No	HF_Sed	HF	Sed	71_post	not_duplicated
71.pre			71_pre.fna	5	999	71_pre	71	cage_3	pre	No	HF_Sed	HF	Sed	71_pre	not_duplicated
72.post			72_post.fna	8	10	72_post	72	cage_4	post	No	NC_Ex	NC	Ex	72_post	72_post
72.post.dup			72_post_dup.fna	72	19	72_post_dup	72	cage_4	post	Yes	NC_Ex	NC	Ex	72_post_dup	72_post
72.pre			72_pre.fna	7	999	72_pre	72	cage_4	pre	No	NC_Ex	NC	Ex	72_pre	72_pre
72.pre.dup			72_pre_dup.fna	71	999	72_pre_dup	72	cage_4	pre	Yes	NC_Ex	NC	Ex	72_pre_dup	72_pre
73.post			73_post.fna	10	2	73_post	73	cage_1	post	No	NC_Sed	NC	Sed	73_post	not_duplicated
73.pre			73_pre.fna	9	999	73_pre	73	cage_1	pre	No	NC_Sed	NC	Sed	73_pre	not_duplicated
74.post			74_post.fna	12	32	74_post	74	cage_2	post	No	HF_Ex	HF	Ex	74_post	not_duplicated
74.pre			74_pre.fna	11	999	74_pre	74	cage_2	pre	No	HF_Ex	HF	Ex	74_pre	not_duplicated
75.post			75_post.fna	14	24	75_post	75	cage_3	post	No	HF_Sed	HF	Sed	75_post	not_duplicated
75.pre			75_pre.fna	13	999	75_pre	75	cage_3	pre	No	HF_Sed	HF	Sed	75_pre	not_duplicated
76.post			76_post.fna	16	11	76_post	76	cage_4	post	No	NC_Ex	NC	Ex	76_post	not_duplicated
76.pre			76_pre.fna	15	999	76_pre	76	cage_4	pre	No	NC_Ex	NC	Ex	76_pre	not_duplicated
77.post			77_post.fna	18	3	77_post	77	cage_1	post	No	NC_Sed	NC	Sed	77_post	not_duplicated
77.pre			77_pre.fna	17	999	77_pre	77	cage_1	pre	No	NC_Sed	NC	Sed	77_pre	not_duplicated
78.post			78_post.fna	20	33	78_post	78	cage_2	post	No	HF_Ex	HF	Ex	78_post	not_duplicated
78.pre			78_pre.fna	19	999	78_pre	78	cage_2	pre	No	HF_Ex	HF	Ex	78_pre	not_duplicated
79.post			79_post.fna	22	25	79_post	79	cage_3	post	No	HF_Sed	HF	Sed	79_post	not_duplicated
79.pre			79_pre.fna	21	999	79_pre	79	cage_3	pre	No	HF_Sed	HF	Sed	79_pre	not_duplicated
80.post			80_post.fna	24	12	80_post	80	cage_4	post	No	NC_Ex	NC	Ex	80_post	not_duplicated
80.pre			80_pre.fna	23	999	80_pre	80	cage_4	pre	No	NC_Ex	NC	Ex	80_pre	not_duplicated
81.post			81_post.fna	26	4	81_post	81	cage_1	post	No	NC_Sed	NC	Sed	81_post	not_duplicated
81.pre			81_pre.fna	25	999	81_pre	81	cage_1	pre	No	NC_Sed	NC	Sed	81_pre	not_duplicated
82.post			82_post.fna	28	34	82_post	82	cage_2	post	No	HF_Ex	HF	Ex	82_post	not_duplicated
82.pre			82_pre.fna	27	999	82_pre	82	cage_2	pre	No	HF_Ex	HF	Ex	82_pre	not_duplicated
83.post			83_post.fna	30	26	83_post	83	cage_3	post	No	HF_Sed	HF	Sed	83_post	not_duplicated
83.pre			83_pre.fna	29	999	83_pre	83	cage_3	pre	No	HF_Sed	HF	Sed	83_pre	not_duplicated
84.post			84_post.fna	32	13	84_post	84	cage_4	post	No	NC_Ex	NC	Ex	84_post	not_duplicated
84.pre			84_pre.fna	31	999	84_pre	84	cage_4	pre	No	NC_Ex	NC	Ex	84_pre	not_duplicated
85.post			85_post.fna	34	5	85_post	85	cage_1	post	No	NC_Sed	NC	Sed	85_post	85_post
85.post.dup			85_post_dup.fna	74	9	85_post_dup	85	cage_1	post	Yes	NC_Sed	NC	Sed	85_post_dup	85_post
85.pre			85_pre.fna	33	999	85_pre	85	cage_1	pre	No	NC_Sed	NC	Sed	85_pre	85_pre
85.pre.dup			85_pre_dup.fna	73	999	85_pre_dup	85	cage_1	pre	Yes	NC_Sed	NC	Sed	85_pre_dup	85_pre
86.post			86_post.fna	36	35	86_post	86	cage_2	post	No	HF_Ex	HF	Ex	86_post	not_duplicated
86.pre			86_pre.fna	35	999	86_pre	86	cage_2	pre	No	HF_Ex	HF	Ex	86_pre	not_duplicated
87.post			87_post.fna	38	27	87_post	87	cage_3	post	No	HF_Sed	HF	Sed	87_post	not_duplicated
87.pre			87_pre.fna	37	999	87_pre	87	cage_3	pre	No	HF_Sed	HF	Sed	87_pre	not_duplicated
88.post			88_post.fna	40	36	88_post	88	cage_5	post	No	HF_Ex	HF	Ex	88_post	not_duplicated
88.pre			88_pre.fna	39	999	88_pre	88	cage_5	pre	No	HF_Ex	HF	Ex	88_pre	not_duplicated
89.post			89_post.fna	42	28	89_post	89	cage_6A	post	No	HF_Sed	HF	Sed	89_post	not_duplicated
89.pre			89_pre.fna	41	999	89_pre	89	cage_6A	pre	No	HF_Sed	HF	Sed	89_pre	not_duplicated
90.post			90_post.fna	44	14	90_post	90	cage_7	post	No	NC_Ex	NC	Ex	90_post	90_post
90.post.dup			90_post_dup.fna	76	20	90_post_dup	90	cage_7	post	Yes	NC_Ex	NC	Ex	90_post_dup	90_post
90.pre			90_pre.fna	43	999	90_pre	90	cage_7	pre	No	NC_Ex	NC	Ex	90_pre	90_pre
90.pre.dup			90_pre_dup.fna	75	999	90_pre_dup	90	cage_7	pre	Yes	NC_Ex	NC	Ex	90_pre_dup	90_pre
91.post			91_post.fna	46	37	91_post	91	cage_5	post	No	HF_Ex	HF	Ex	91_post	not_duplicated
91.pre			91_pre.fna	45	999	91_pre	91	cage_5	pre	No	HF_Ex	HF	Ex	91_pre	not_duplicated
92.post			92_post.fna	48	29	92_post	92	cage_6A	post	No	HF_Sed	HF	Sed	92_post	not_duplicated
